"","wage","lwage","educ","exper","tenure","numdep","expersq","tenursq","educsqr","race","metro","marital.st","gender","business.type","job.type","log.tenure","res","region"
"444",14.38,2.665838,17,10,9,1,100,81,289,"nonwhite","suburb","married","male","ndurman","profocc",2.30258509299405,0.46960234986303,"south"
"445",6.36,1.850028,16,25,0,1,625,0,256,"white","rural","married","male","ndurman","profocc",0,-0.326040430465974,"south"
"446",3.55,1.266948,12,21,0,1,441,0,144,"white","suburb","married","female","ndurman","other",0,-0.0478893916738649,"south"
"447",3,1.098612,15,32,0,0,1024,0,225,"white","rural","married","male","services","servocc",0,-0.528334591698005,"south"
"448",4.5,1.504077,16,21,10,1,441,100,256,"white","rural","married","male","trade","profocc",2.39789527279837,-0.700851969247962,"south"
"449",6.63,1.891605,12,36,0,0,1296,0,144,"white","rural","single","female","trade","clerocc",0,0.679756072920076,"south"
"450",9.3,2.230014,15,2,2,0,4,4,225,"white","rural","married","male","trade","other",1.09861228866811,0.652888061437191,"south"
"451",3,1.098612,12,11,0,2,121,0,144,"white","rural","married","female","trade","profocc",0,-0.263626725216949,"south"
"452",3.25,1.178655,12,40,2,0,1600,4,144,"white","suburb","single","female","trade","servocc",1.09861228866811,0.198327349967521,"northcen"
"453",1.5,0.4054651,12,11,1,2,121,1,144,"white","suburb","married","female","profserv","servocc",0.693147180559945,-0.783586084890235,"northcen"
"454",5.9,1.774952,12,9,7,1,81,49,144,"white","rural","married","female","other","other",2.07944154167984,0.129005997340665,"northcen"
"455",8,2.079442,16,23,4,0,529,16,256,"white","rural","single","male","trade","profocc",1.6094379124341,-0.0268032414013474,"northcen"
"456",2.9,1.064711,11,1,0,1,1,0,121,"white","rural","single","female","trade","profocc",0,-0.0289532987542121,"northcen"
"457",3.29,1.190888,14,30,13,0,900,169,196,"white","rural","single","male","trade","profocc",2.63905732961526,-0.849065352268153,"northcen"
"458",6.5,1.871802,14,41,33,0,1681,1089,196,"white","rural","married","male","trade","profocc",3.52636052461616,-0.156024076024458,"northcen"
"459",4,1.386294,13,6,0,1,36,0,169,"white","rural","single","female","construc","clerocc",0,-0.0152043362466955,"northcen"
"460",6,1.791759,14,11,0,0,121,0,196,"white","suburb","married","male","trade","other",0,0.36228027583925,"northcen"
"461",4.08,1.406097,12,43,17,0,1849,289,144,"white","rural","married","female","profserv","clerocc",2.89037175789616,-0.184076214658933,"northcen"
"462",3.75,1.321756,12,39,2,0,1521,4,144,"white","rural","married","female","services","profocc",1.09861228866811,-0.150011529591564,"northcen"
"463",3.05,1.115142,8,50,24,0,2500,576,64,"white","suburb","single","female","ndurman","other",3.2188758248682,0.0445376789825615,"south"
"464",3.5,1.252763,12,26,20,0,676,400,144,"white","suburb","married","female","ndurman","other",3.04452243772342,-0.371311406595896,"south"
"465",2.92,1.071584,3,51,30,0,2601,900,9,"nonwhite","rural","single","male","services","servocc",3.43398720448515,-0.0913435660880304,"south"
"466",4.5,1.504077,11,3,9,0,9,81,121,"white","rural","single","male","construc","other",2.30258509299405,-0.187421198612362,"south"
"467",3.35,1.20896,15,3,1,2,9,1,225,"white","rural","married","female","services","clerocc",0.693147180559945,-0.101360358613565,"south"
"468",5.95,1.783391,11,15,9,1,225,81,121,"nonwhite","suburb","married","male","construc","other",2.30258509299405,0.0470003458433324,"south"
"469",8,2.079442,12,17,6,2,289,36,144,"white","suburb","married","male","trade","profocc",1.94591014905531,0.358696057717266,"south"
"470",3,1.098612,4,36,0,1,1296,0,16,"white","suburb","married","male","construc","other",0,-0.289184868911883,"south"
"471",5,1.609438,9,31,9,6,961,81,81,"nonwhite","suburb","married","male","other","other",2.30258509299405,0.00327830885751335,"south"
"472",5.5,1.704748,12,9,4,1,81,16,144,"white","suburb","married","male","trade","other",1.6094379124341,0.287769442016117,"south"
"473",2.65,0.9745597,12,42,10,0,1764,100,144,"white","rural","married","female","services","clerocc",2.39789527279837,-0.531467255861863,"west"
"474",3,1.098612,11,3,0,2,9,0,121,"white","rural","single","female","trade","other",0,0.0627562289768584,"west"
"475",4.5,1.504077,12,37,14,0,1369,196,144,"white","suburb","married","female","profserv","clerocc",2.70805020110221,-0.153931312798117,"west"
"476",17.5,2.862201,16,23,22,3,529,484,256,"white","rural","married","male","trade","profocc",3.13549421592915,0.515331654028936,"west"
"477",8.18,2.101692,13,21,5,0,441,25,169,"white","rural","single","male","trade","profocc",1.79175946922805,0.0599454363516877,"west"
"478",9.09,2.207175,15,11,12,1,121,144,225,"white","rural","married","male","trcommpu","profocc",2.56494935746154,-0.146214927337041,"west"
"479",11.82,2.469793,16,35,13,0,1225,169,256,"white","rural","married","male","trcommpu","profocc",2.63905732961526,-0.00470591415036085,"west"
"480",3.25,1.178655,12,42,0,0,1764,0,144,"white","rural","married","female","trade","profocc",0,-0.251486664095532,"west"
"481",4.5,1.504077,12,3,0,0,9,0,144,"white","rural","single","male","other","other",0,-0.185681577258067,"west"
"482",4.5,1.504077,12,13,0,0,169,0,144,"white","rural","married","male","other","other",0,-0.40780102626872,"west"
"483",3.71,1.311032,9,14,7,2,196,49,81,"white","suburb","married","male","ndurman","other",2.07944154167984,-0.27023442871879,"south"
"484",6.5,1.871802,10,14,11,3,196,121,100,"white","suburb","married","male","trade","other",2.484906649788,0.438233428801529,"south"
"485",2.9,1.064711,12,39,1,0,1521,1,144,"white","suburb","married","female","profserv","servocc",0.693147180559945,-0.13349449527381,"south"
"486",5.6,1.722767,11,11,8,2,121,64,121,"white","suburb","married","male","other","clerocc",2.19722457733622,-0.0613382597477847,"south"
"487",2.23,0.8020016,8,28,3,4,784,9,64,"white","suburb","married","male","profserv","profocc",1.38629436111989,-0.878027157577437,"south"
"488",5,1.609438,6,18,0,3,324,0,36,"white","rural","married","female","trade","servocc",0,0.522557111560468,"west"
"489",8.33,2.119864,16,6,2,0,36,4,256,"white","rural","married","male","trcommpu","clerocc",1.09861228866811,0.0416357378887059,"west"
"490",2.9,1.064711,12,26,1,4,676,1,144,"white","rural","single","female","trade","clerocc",0.693147180559945,-0.196194173740182,"south"
"491",6.25,1.832582,12,21,6,3,441,36,144,"white","rural","married","male","trade","profocc",1.94591014905531,-0.029616269789748,"south"
"492",4.55,1.515127,16,34,2,0,1156,4,256,"white","suburb","married","male","profserv","profocc",1.09861228866811,-0.576801444181044,"south"
"493",3.28,1.187843,12,17,2,0,289,4,144,"white","suburb","single","female","profserv","servocc",1.09861228866811,-0.105348403934537,"south"
"494",2.3,0.8329091,10,2,0,4,4,0,100,"white","rural","single","female","trade","servocc",0,0.100305535403928,"northcen"
"495",3.3,1.193922,13,5,0,0,25,0,169,"white","rural","single","female","profserv","profocc",0,-0.298038916162682,"northcen"
"496",3.15,1.147403,13,1,0,4,1,0,169,"white","rural","single","female","trcommpu","clerocc",0,0.00930082485231001,"northcen"
"497",12.5,2.525729,14,40,30,0,1600,900,196,"white","rural","married","male","other","profocc",3.43398720448515,0.186316702532007,"northcen"
"498",5.15,1.638997,16,39,21,0,1521,441,256,"white","rural","single","female","profserv","clerocc",3.09104245335832,-0.370680833862358,"west"
"499",3.13,1.141033,10,1,1,2,1,1,100,"white","rural","single","male","trade","servocc",0.693147180559945,-0.0605122631434154,"west"
"500",7.25,1.981001,12,14,5,3,196,25,144,"white","rural","married","male","trcommpu","other",1.79175946922805,0.0927217087925928,"west"
"501",2.9,1.064711,12,2,2,0,4,4,144,"white","rural","single","female","profserv","clerocc",1.09861228866811,-0.379726563449016,"west"
"502",1.75,0.5596158,11,2,1,2,4,1,121,"white","rural","single","male","trade","servocc",0.693147180559945,-0.70455404908132,"west"
"503",2.89,1.061257,0,42,0,2,1764,0,0,"white","suburb","married","female","services","other",0,0.0991544015176054,"west"
"504",2.9,1.064711,5,34,0,5,1156,0,25,"white","suburb","married","female","ndurman","other",0,-0.0469879538959579,"west"
"505",17.71,2.874129,16,10,3,1,100,9,256,"white","rural","married","male","construc","profocc",1.38629436111989,0.492445595561041,"west"
"506",6.25,1.832582,16,4,3,0,16,9,256,"white","suburb","married","male","trcommpu","servocc",1.38629436111989,0.035723364016621,"west"
"507",2.6,0.9555114,9,4,0,1,16,0,81,"white","suburb","single","male","trade","other",0,-0.170673494695908,"west"
"508",6.63,1.891605,15,21,3,2,441,9,225,"white","suburb","married","female","profserv","profocc",1.38629436111989,-0.0205068429988342,"west"
"509",3.5,1.252763,12,31,3,1,961,9,144,"nonwhite","rural","single","female","services","other",1.38629436111989,-0.162654916005454,"west"
"510",6.5,1.871802,12,20,14,3,400,196,144,"white","rural","married","male","trade","other",2.70805020110221,0.0265524150882149,"west"
"511",3,1.098612,12,36,1,0,1296,1,144,"nonwhite","rural","single","female","services","other",0.693147180559945,-0.221772189906234,"west"
"512",4.38,1.477049,13,7,0,1,49,0,169,"nonwhite","rural","married","male","ndurman","other",0,-0.234581902418427,"west"
"513",10,2.302585,12,15,0,1,225,0,144,"white","suburb","single","male","services","profocc",0,0.746763821557686,"other"
"514",4.95,1.599388,7,25,17,5,625,289,49,"white","suburb","married","male","construc","other",2.89037175789616,-0.1072447327057,"other"
"515",9,2.197225,17,7,0,2,49,0,289,"white","suburb","married","female","profserv","profocc",0,0.47301058297659,"other"
"516",1.43,0.3576744,12,17,0,2,289,0,144,"white","suburb","married","female","trade","other",0,-0.774310456350236,"other"
"517",3.08,1.12493,12,3,1,0,9,1,144,"white","suburb","single","male","profserv","profocc",0.693147180559945,-0.506719686429487,"other"
"518",9.33,2.233235,14,12,11,3,144,121,196,"white","suburb","married","male","profserv","profocc",2.484906649788,0.185655163729506,"other"
"519",7.5,2.014903,12,18,5,2,324,25,144,"white","suburb","married","male","trade","other",1.79175946922805,0.386466043987957,"west"
"520",4.75,1.558145,13,47,1,0,2209,1,169,"white","suburb","married","male","trade","other",0.693147180559945,0.216141658912203,"west"
"521",5.65,1.731656,12,2,0,0,4,0,144,"white","suburb","single","male","construc","other",0,0.260461918337926,"west"
"522",15,2.70805,16,14,2,2,196,4,256,"white","suburb","married","female","profserv","profocc",1.09861228866811,0.796510797391024,"west"
"523",2.27,0.8197798,10,2,0,3,4,0,100,"white","suburb","single","female","trade","profocc",0,-0.187673997637565,"west"
"524",4.67,1.541159,15,13,18,3,169,324,225,"white","suburb","married","male","construc","profocc",2.94443897916644,-0.758554337086293,"west"
"525",11.56,2.447551,16,5,1,0,25,1,256,"white","suburb","married","male","ndurman","other",0.693147180559945,0.602896777836521,"west"
"526",3.5,1.252763,14,5,4,2,25,16,196,"nonwhite","suburb","single","female","profserv","clerocc",1.6094379124341,-0.195033499404802,"west"
